0.849,0.635,0.655,0.642,0.656,0.615,0.638,0.611,0.594,0.569,0.58,0.533,0.523,
,0.838,0.612,0.616,0.591,0.579,0.609,0.54,0.543,0.538,0.528,0.538,0.497,
,,0.792,0.584,0.591,0.543,0.568,0.52,0.523,0.509,0.501,0.486,0.446,
,,,0.778,0.584,0.518,0.565,0.49,0.504,0.484,0.454,0.477,0.412,
,,,,0.765,0.538,0.495,0.492,0.493,0.436,0.443,0.422,0.416,
,,,,,0.714,0.52,0.503,0.428,0.436,0.409,0.419,0.378,
,,,,,,0.708,0.474,0.457,0.431,0.373,0.4,0.366,
,,,,,,,0.673,0.438,0.422,0.368,0.35,0.342,
,,,,,,,,0.627,0.397,0.352,0.359,0.322,
,,,,,,,,,0.592,0.36,0.35,0.293,
,,,,,,,,,,0.552,0.348,0.284,
,,,,,,,,,,,0.545,0.291,
,,,,,,,,,,,,0.506,
,,,,,,,,,,,,,
,0.707,0.676,0.683,0.665,0.633,0.614,0.626,0.633,0.6,0.585,0.558,0.55,
,,0.636,0.64,0.641,0.644,0.58,0.599,0.602,0.564,0.552,0.548,0.525,
,,,0.588,0.631,0.589,0.562,0.557,0.535,0.53,0.546,0.521,0.487,
,,,,0.571,0.583,0.554,0.515,0.528,0.473,0.463,0.481,0.455,
,,,,,0.563,0.544,0.522,0.489,0.468,0.467,0.414,0.444,
,,,,,,0.549,0.498,0.468,0.453,0.461,0.458,0.4,
,,,,,,,0.504,0.475,0.446,0.418,0.433,0.367,
,,,,,,,,0.411,0.458,0.417,0.42,0.372,
,,,,,,,,,0.399,0.412,0.39,0.385,
,,,,,,,,,,0.38,0.394,0.346,
,,,,,,,,,,,0.338,0.347,
,,,,,,,,,,,,0.34,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
